product,forums,news,twitter,video,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_avg,senti_score_wk,week,units,index,views,group,cat,period
an,9846,1157,68208,26078,105289,32376,49905,23008,65,73,-37,5112,3.692866667,6428505,an,Action,prelaunch
an,11225,1024,30771,58471,101491,40055,36595,24841,83.14285714,81,-36,46104,3.744366667,26781995,an,Action,prelaunch
an,5417,322,14012,11300,31051,8621,16012,6418,70.85714286,71,-35,12668,1.610566667,4503416,an,Action,prelaunch
an,3081,453,3302,7055,13891,4166,4813,4912,53.14285714,48,-34,10730,1.2555,2356591,an,Action,prelaunch
an,5731,414,5846,17857,29848,9988,9098,10762,55.71428571,56,-33,7899,1.2399,5486643,an,Action,prelaunch
an,3625,156,3631,7998,15410,4471,5860,5079,53.57142857,33,-32,7343,1.0832,3366742,an,Action,prelaunch
an,3098,19,1971,4534,9622,2383,3701,3538,43.42857143,43,-31,5953,0.890233333,1523560,an,Action,prelaunch
an,2840,442,2469,4411,10162,2325,3996,3841,43.57142857,33,-30,5387,0.905933333,1918149,an,Action,prelaunch
an,2424,499,2518,2613,8054,2198,3181,2675,54.57142857,43,-29,5376,0.8538,1003767,an,Action,prelaunch
an,878,75,1116,1799,3868,1027,1830,1011,59.57142857,59,-28,5116,0.849066667,930033,an,Action,prelaunch
an,645,32,1371,3207,5255,1659,2010,1586,62.42857143,64,-27,6175,0.8395,996070,an,Action,prelaunch
an,1475,194,4753,2782,9204,2498,4725,1981,60,77,-26,6992,0.867733333,976400,an,Action,prelaunch
an,3125,544,5935,7044,16648,4808,6588,5252,52.85714286,36,-25,5366,1.025866667,1825996,an,Action,prelaunch
an,3740,1171,8352,6147,19410,5294,8327,5789,59.42857143,61,-24,7134,1.190833333,4708879,an,Action,prelaunch
an,1931,399,2135,2045,6510,1932,2854,1724,65.28571429,67,-23,4371,0.877666667,1077375,an,Action,prelaunch
an,1236,65,2907,3925,8133,1966,3382,2785,46.71428571,55,-22,3971,0.811,2281862,an,Action,prelaunch
an,1839,55,2733,2094,6721,1968,3151,1602,69.85714286,76,-21,5628,0.8051,1078308,an,Action,prelaunch
an,1188,125,1497,1461,4271,1219,1993,1059,67,66,-20,5012,0.7404,827008,an,Action,prelaunch
an,1490,25,2970,3502,7987,2441,4011,1535,72.57142857,63,-19,6087,0.610466667,669053,an,Action,prelaunch
an,1793,33,1716,2285,5827,1740,2706,1381,68,69,-18,4182,0.6681,888012,an,Action,prelaunch
an,1841,73,3636,3247,8797,2150,4547,2100,57.42857143,54,-17,4306,0.841966667,1058918,an,Action,prelaunch
an,3930,292,2865,9996,17083,5122,5622,6339,50.28571429,45,-16,4991,1.1445,3910461,an,Action,prelaunch
an,3435,308,3936,4407,12086,4264,4243,3579,67,65,-15,4780,1.226366667,2818055,an,Action,prelaunch
an,4101,131,3939,4729,12900,4069,5398,3433,63.42857143,58,-14,5721,1.294466667,2560239,an,Action,prelaunch
an,3259,53,3539,3525,10376,3090,4297,2989,61.71428571,59,-13,5481,1.386,1829468,an,Action,prelaunch
an,5037,893,7097,5154,18181,4457,8460,5264,51,55,-12,7029,1.670566667,2265702,an,Action,prelaunch
an,12337,811,17436,7710,38294,9300,17408,11586,51.57142857,51,-11,11776,2.46,4599122,an,Action,prelaunch
an,13180,621,13089,19292,46182,11924,19530,14728,51.42857143,43,-10,18273,1.955266667,6516471,an,Action,prelaunch
an,8026,687,7285,14701,30699,9239,12250,9210,60.71428571,60,-9,21587,1.784166667,4453711,an,Action,prelaunch
an,5254,75,5547,8171,19047,5412,7978,5657,58.71428571,52,-8,31029,1.765733333,2365991,an,Action,prelaunch
an,8257,495,13588,11818,34158,9579,15966,8613,65,66,-7,38292,2.377866667,3316202,an,Action,prelaunch
an,17940,701,46710,30985,96336,22331,53481,20524,61.85714286,59,-6,61851,4.2038,11097696,an,Action,prelaunch
an,26637,933,32319,31816,91705,27191,39701,24813,62,82,-5,106406,5.144,11213202,an,Action,prelaunch
an,116773,2898,213779,94004,427454,92925,197688,136841,52.85714286,57,-4,338421,9.504966667,24996831,an,Action,prelaunch
an,143637,3314,168842,183095,498888,122787,189086,187015,39.14285714,31,-3,146359,6.6072,36015599,an,Action,prelaunch
an,101212,2164,94085,80272,277733,73019,111774,92940,50.85714286,43,-2,113035,4.7664,24083385,an,Action,prelaunch
an,94299,2928,119928,67036,284191,68487,132325,83379,53.57142857,56,-1,180078,5.9122,25204130,an,Action,prelaunch
an,247922,8685,207998,210938,675543,167296,241688,266559,37,35,0,2328668,8.795133333,44967510,an,Action,launch
an,250994,4836,153622,177904,587356,141741,202644,242971,34,33,1,410531,5.970633333,45391689,an,Action,postlaunch
an,215100,3502,114645,139159,472406,106056,160748,205602,29.71428571,27,2,128719,3.936566667,28559838,an,Action,postlaunch
an,158762,2864,60202,77861,299689,70718,91407,137564,27.71428571,25,3,62333,2.655166667,15799376,an,Action,postlaunch
an,84430,1233,36293,35093,157049,36973,54221,65855,32.28571429,37,4,33852,1.859333333,9222049,an,Action,postlaunch
an,90486,2098,34386,50490,177460,40377,54070,83013,26.14285714,26,5,25795,1.4707,8308511,an,Action,postlaunch
an,70217,3037,49297,55345,177896,38304,51089,88503,25.14285714,24,6,18953,1.6386,8279202,an,Action,postlaunch
an,42165,1631,19989,21741,85526,19350,28496,37680,28.28571429,31,7,17422,1.097866667,5688746,an,Action,postlaunch
an,39827,322,22970,17086,80205,15447,34102,30656,29.71428571,26,8,25641,0.9398,3372383,an,Action,postlaunch
an,51914,1011,17929,29047,99901,21387,31230,47284,24.28571429,20,9,17397,0.948066667,4814930,an,Action,postlaunch
an,36870,583,11902,21744,71099,16141,21448,33510,24.28571429,23,10,13335,0.887666667,3827633,an,Action,postlaunch
an,27983,1318,10106,20013,59420,12773,18166,28481,22.28571429,25,11,15367,0.994133333,3723526,an,Action,postlaunch
