product,group,cat,period,week,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_wk,index,views,units
an,an,Action,prelaunch,-37,105289,32376,49905,23008,73,3.692866667,6428505,5112
an,an,Action,prelaunch,-36,101491,40055,36595,24841,81,3.744366667,26781995,46104
an,an,Action,prelaunch,-35,31051,8621,16012,6418,71,1.610566667,4503416,12668
an,an,Action,prelaunch,-34,13891,4166,4813,4912,48,1.2555,2356591,10730
an,an,Action,prelaunch,-33,29848,9988,9098,10762,56,1.2399,5486643,7899
an,an,Action,prelaunch,-32,15410,4471,5860,5079,33,1.0832,3366742,7343
an,an,Action,prelaunch,-31,9622,2383,3701,3538,43,0.890233333,1523560,5953
an,an,Action,prelaunch,-30,10162,2325,3996,3841,33,0.905933333,1918149,5387
an,an,Action,prelaunch,-29,8054,2198,3181,2675,43,0.8538,1003767,5376
an,an,Action,prelaunch,-28,3868,1027,1830,1011,59,0.849066667,930033,5116
an,an,Action,prelaunch,-27,5255,1659,2010,1586,64,0.8395,996070,6175
an,an,Action,prelaunch,-26,9204,2498,4725,1981,77,0.867733333,976400,6992
an,an,Action,prelaunch,-25,16648,4808,6588,5252,36,1.025866667,1825996,5366
an,an,Action,prelaunch,-24,19410,5294,8327,5789,61,1.190833333,4708879,7134
an,an,Action,prelaunch,-23,6510,1932,2854,1724,67,0.877666667,1077375,4371
an,an,Action,prelaunch,-22,8133,1966,3382,2785,55,0.811,2281862,3971
an,an,Action,prelaunch,-21,6721,1968,3151,1602,76,0.8051,1078308,5628
an,an,Action,prelaunch,-20,4271,1219,1993,1059,66,0.7404,827008,5012
an,an,Action,prelaunch,-19,7987,2441,4011,1535,63,0.610466667,669053,6087
an,an,Action,prelaunch,-18,5827,1740,2706,1381,69,0.6681,888012,4182
an,an,Action,prelaunch,-17,8797,2150,4547,2100,54,0.841966667,1058918,4306
an,an,Action,prelaunch,-16,17083,5122,5622,6339,45,1.1445,3910461,4991
an,an,Action,prelaunch,-15,12086,4264,4243,3579,65,1.226366667,2818055,4780
an,an,Action,prelaunch,-14,12900,4069,5398,3433,58,1.294466667,2560239,5721
an,an,Action,prelaunch,-13,10376,3090,4297,2989,59,1.386,1829468,5481
an,an,Action,prelaunch,-12,18181,4457,8460,5264,55,1.670566667,2265702,7029
an,an,Action,prelaunch,-11,38294,9300,17408,11586,51,2.46,4599122,11776
an,an,Action,prelaunch,-10,46182,11924,19530,14728,43,1.955266667,6516471,18273
an,an,Action,prelaunch,-9,30699,9239,12250,9210,60,1.784166667,4453711,21587
an,an,Action,prelaunch,-8,19047,5412,7978,5657,52,1.765733333,2365991,31029
an,an,Action,prelaunch,-7,34158,9579,15966,8613,66,2.377866667,3316202,38292
an,an,Action,prelaunch,-6,96336,22331,53481,20524,59,4.2038,11097696,61851
an,an,Action,prelaunch,-5,91705,27191,39701,24813,82,5.144,11213202,106406
