Channel,Landing Page,Sessions,Avg. Session Duration,Pageviews,Bounces,Session Duration
Organic Search,/,171,0:04:55,"1,116",38,14:01:08
Organic Search,/cider-making/,95,0:03:29,542,22,5:30:18
Organic Search,/used-equipment/,65,0:02:59,335,15,3:14:03
Direct,/,64,0:02:41,286,40,2:51:47
Organic Search,/products/stelvin-screwcaps/,22,0:03:14,76,11,1:11:13
Organic Search,/winemaking/,17,0:07:06,232,1,2:00:49
Organic Search,/brewing/,15,0:02:04,60,3,0:30:56
Referral,/,14,0:09:57,111,3,2:19:12
Organic Search,/products/submersible-plate-heat-exchanger-tank-wrap/,13,0:02:14,26,11,0:28:56
Organic Search,/about-us-contact/,11,0:04:28,69,6,0:49:09
Organic Search,/products/fermoplus-tropical/,10,0:00:45,20,8,0:07:28
Organic Search,/products/oenosteryl/,10,0:00:00,10,10,0:00:00
Organic Search,/winemaking/category/tanks/49/,10,0:04:50,94,0,0:48:19
Organic Search,/products/brewery-fittings/,9,0:00:09,13,8,0:01:24
Direct,/winemaking/,8,0:02:50,44,4,0:22:39
Organic Search,/products/belt-press-ebp-500/,8,0:06:04,22,5,0:48:33
Organic Search,/products/bulldog-pup-gas-barrel-racking-wand/,8,0:00:39,13,6,0:05:08
Organic Search,/products/tonnellerie-francois-freres/,8,0:00:00,8,8,0:00:00
Organic Search,/winemaking/category/pumps/102/,8,0:04:41,53,1,0:37:30
Direct,/products/lafazym-cl/,7,0:00:00,7,7,0:00:00
Organic Search,/2019-catalogues/,7,0:06:51,36,2,0:47:56
Organic Search,/products/cross-flow-filters/,7,0:02:48,49,4,0:19:33
Organic Search,/products/dynastart/,7,0:01:01,10,5,0:07:04
Direct,/cider-making/,6,0:01:37,21,2,0:09:40
Direct,/used-equipment/,6,0:00:40,8,4,0:04:01
Organic Search,/distilling/,6,0:04:17,66,0,0:25:44
Organic Search,/products/cleated-inclined-conveyor/,6,0:00:00,6,6,0:00:00
Direct,/login/,5,0:19:07,27,0,1:35:36
Direct,/products/fermoplus-malolactique/,5,0:00:00,5,5,0:00:00
Direct,/products/saury-barrels/,5,0:00:15,10,4,0:01:17
Organic Search,/cider-making/category/tanks/69/,5,0:05:44,25,1,0:28:41
Organic Search,/products/ct-benchtop-capsule-spinner/,5,0:00:00,5,5,0:00:00
Organic Search,/products/destemmer-crusher-kappa-15/,5,0:00:15,12,3,0:01:13
Organic Search,/products/flexible-impeller-pumps/,5,0:00:00,5,5,0:00:00
Organic Search,/products/gelsol/,5,0:00:00,5,5,0:00:00
Organic Search,/winemaking/news/cmc-smart-solution-cold-stabilizing-your-white-and-rose-wines/,5,0:00:14,9,4,0:01:09
Direct,/2019-catalogues/,4,0:00:00,4,4,0:00:00
Direct,/about-us-contact/team/perry-maxfield/,4,0:00:00,4,4,0:00:00
Direct,/brewing/category/beer-tanks/53/,4,0:00:00,4,4,0:00:00
Direct,/products/de-stoning-machine-ep500/,4,0:00:00,4,4,0:00:00
Direct,/products/fermoplus-energy-glu/,4,0:00:00,4,4,0:00:00
Direct,/products/fermoplus-integrateur/,4,0:00:00,4,4,0:00:00
Direct,/products/lafase-xl-press/,4,0:00:00,4,4,0:00:00
Direct,/products/nutristart/,4,0:00:00,4,4,0:00:00
Direct,/products/oak-cubes/,4,0:00:00,4,4,0:00:00
Direct,/products/polygel-bh-p30-plus/,4,0:00:00,4,4,0:00:00
Direct,/products/polylact/,4,0:00:00,4,4,0:00:00
Direct,/products/potassium-metabisulfite-kms/,4,0:00:00,4,4,0:00:00
Direct,/products/rotary-drum-vacuum-lees-filter/,4,0:00:00,4,4,0:00:00
Direct,/products/stelvin-screwcaps/,4,0:00:00,4,4,0:00:00
Direct,/products/zymaflore-delta/,4,0:00:00,4,4,0:00:00
Direct,/products/zymaflore-vl2/,4,0:00:00,4,4,0:00:00
Organic Search,/products/aluminium-barrel-racks/,4,0:00:25,5,3,0:01:38
Organic Search,/products/deacid/,4,0:00:20,9,3,0:01:20
Organic Search,/products/fermol-arome-plus/,4,0:04:33,15,3,0:18:13
Organic Search,/products/rotary-drum-vacuum-lees-filter/,4,0:00:28,4,2,0:01:53
Organic Search,/products/stabivin-sp/,4,0:00:00,4,4,0:00:00
Organic Search,/products/yampa-tabletop-canning-system/,4,0:00:00,4,4,0:00:00
Direct,/products/zymaflore-vl1/,3,0:00:00,3,3,0:00:00
Direct,/used-clearance/clearance-items/,3,0:00:12,7,1,0:00:35
Direct,/winemaking/category/filtration/104/,3,0:00:00,3,3,0:00:00
Organic Search,/cider-making/category/Fruit-Processing-Machinery/264/,3,0:01:59,10,1,0:05:58
Organic Search,/easy-fast-financing/,3,0:09:33,25,1,0:28:39
Organic Search,/products/benchmate-label/,3,0:00:30,3,2,0:01:29
Organic Search,/products/celstab/,3,0:00:00,3,3,0:00:00
Organic Search,/products/closed-tank-presses-velvet-50-65-80-115-160-and-larger/,3,0:00:13,3,2,0:00:40
Organic Search,/products/cremor-stpo-extra-40/,3,0:00:00,3,3,0:00:00
Organic Search,/products/fermol-glutaferm/,3,0:00:15,8,2,0:00:46
Organic Search,/products/fermoplus-integrateur/,3,0:00:08,4,2,0:00:24
Organic Search,/products/lenticular-filter-housing/,3,0:00:29,5,2,0:01:26
Organic Search,/products/mobile-pressure-washer/,3,0:00:00,3,3,0:00:00
Organic Search,/products/nutristart-org/,3,0:00:20,12,2,0:01:00
Organic Search,/products/plate-and-frame-lees-filter-press/,3,0:05:55,4,2,0:17:45
Organic Search,/products/portable-chillers-and-heaters-fire-ice/,3,0:06:31,16,0,0:19:33
Organic Search,/products/spadoni-de-filters-5-50-square-meters/,3,0:00:00,3,3,0:00:00
Organic Search,/products/stock-tanks/,3,0:01:57,9,2,0:05:52
Referral,/search/?search_paths[]=&query=perlite&submit=Search,3,0:00:00,3,3,0:00:00
Referral,/winemaking/,3,0:20:01,44,0,1:00:03
Direct,/about-us-contact/,2,0:01:03,4,1,0:02:06
Direct,/products/ellagitan-barrique-liquid/,2,0:00:00,2,2,0:00:00
Direct,/products/flexible-impeller-pumps/,2,0:00:00,2,2,0:00:00
Organic Search,/brewing/category/beer-tanks/53/,2,0:03:27,5,1,0:06:53
Organic Search,/brewing/category/pumps/142/,2,0:00:07,5,0,0:00:14
Organic Search,/distilling/category/Distilling Production/300/,2,0:00:15,5,1,0:00:29
Organic Search,/products/aeration-oxidation-assembly-free-so2/,2,0:00:00,2,2,0:00:00
Organic Search,/products/alcohol-distillation-kit/,2,0:00:35,3,1,0:01:10
Organic Search,/products/barrel-bungs/,2,0:00:00,2,2,0:00:00
Organic Search,/products/belt-press-ebp-350/,2,0:00:00,2,2,0:00:00
Organic Search,/products/benchmax-labeling-machin/,2,0:00:30,3,1,0:00:59
Organic Search,/products/carbosil/,2,0:00:00,2,2,0:00:00
Organic Search,/products/commercial-glass-polisher/,2,0:00:00,2,2,0:00:00
Organic Search,/products/ebulliometer-alcohol-analysis-kit/,2,0:00:00,2,2,0:00:00
Organic Search,/products/erelte-powder/,2,0:00:07,2,0,0:00:13
Organic Search,/products/fermol-pb2033/,2,0:00:00,2,2,0:00:00
Organic Search,/products/floating-lid-variable-capacity-tanks/,2,0:07:24,22,1,0:14:47
Organic Search,/products/fresharom/,2,0:00:36,3,1,0:01:11
Organic Search,/products/hydraulic-basket-presses-vintage-5-15-23/,2,0:00:05,3,1,0:00:09
Organic Search,/products/juice-collection-tank-100l/,2,0:00:00,2,2,0:00:00
Organic Search,/products/kappa-25/,2,0:01:14,4,1,0:02:28
Organic Search,/products/lactoenos-b7-direct/,2,0:00:00,2,2,0:00:00
Organic Search,/products/lafazym-press/,2,0:00:15,4,1,0:00:30
Organic Search,/products/lenticular-filter-modules-cartridges-1/,2,0:00:19,6,1,0:00:37
Organic Search,/products/mannostab/,2,0:05:59,3,1,0:11:57
Organic Search,/products/micro-brewery-equipment/,2,0:03:06,13,1,0:06:11
